order	stage_en	stage_zh	tool	status	lineage	platform	role_en	role_zh	repo
5	Short/hybrid assembly	二代与混合组装	SPAdes	R	replaces Velvet/IDBA in role	short/hybrid	de Bruijn isolate assembler (--isolate)	de Bruijn 分离株组装器	ablab/spades
5	Short/hybrid assembly	二代与混合组装	Unicycler	R	-	short/hybrid	bold hybrid assembly, tends to circularize	混合组装并倾向成环	rrwick/Unicycler
5	Short/hybrid assembly	二代与混合组装	Shovill	A	-	short	faster SPAdes wrapper with normalized options	SPAdes 加速封装	tseemann/shovill
5	Short/hybrid assembly	二代与混合组装	SKESA	A	-	short	NCBI conservative strategic-k-mer assembler	NCBI 保守策略 k-mer 组装	ncbi/skesa
5	Short/hybrid assembly	二代与混合组装	MEGAHIT	A	-	short/meta	very memory-efficient de Bruijn assembler	极省内存的组装器	voutcn/megahit
5	Short/hybrid assembly	二代与混合组装	MaSuRCA	A	-	hybrid	hybrid OLC/de Bruijn assembler	混合 OLC/de Bruijn 组装	alekseyzimin/masurca
5	Short/hybrid assembly	二代与混合组装	ABySS	A	-	short	scalable paired-end assembler	可扩展双端组装	bcgsc/abyss
5	Short/hybrid assembly	二代与混合组装	A5-miseq	L	-> SPAdes/Unicycler	short	turnkey MiSeq assembler	开箱即用 MiSeq 组装	
5	Short/hybrid assembly	二代与混合组装	IDBA / IDBA-UD	L	-> SPAdes/MEGAHIT	short/meta	iterative k-mer assembler	迭代 k-mer 组装器	
5	Short/hybrid assembly	二代与混合组装	Velvet (+VelvetOptimiser)	L	-> SPAdes	short	original de Bruijn assembler	最早的 de Bruijn 组装器	
5	Short/hybrid assembly	二代与混合组装	SOAPdenovo2	L	-> SPAdes	short	large-genome short-read assembler	大基因组二代组装器	
5	Short/hybrid assembly	二代与混合组装	MIRA / Edena / CISA	L	-> SPAdes/Unicycler	short	early overlap/consensus and merge tools	早期重叠一致与合并工具	
6	Long-read assembly	三代组装	Flye	R	-	long	repeat-aware long-read/metagenome assembler	感知重复的长读组装器	fenderglass/Flye
6	Long-read assembly	三代组装	Trycycler	R	-	long	consensus across multiple assemblies, finished standard	多组装一致性，完成图金标准	rrwick/Trycycler
6	Long-read assembly	三代组装	Canu	A	replaces Celera Assembler	long	conservative OLC long-read assembler	保守 OLC 长读组装器	marbl/canu
6	Long-read assembly	三代组装	hifiasm	A	-	PacBio HiFi	fast HiFi assembler with phasing	快速 HiFi 组装并可分型	chhylp123/hifiasm
6	Long-read assembly	三代组装	wtdbg2	A	-	long	fast fuzzy de Bruijn long-read assembler	快速模糊 de Bruijn 组装	ruanjue/wtdbg2
6	Long-read assembly	三代组装	Raven	A	-	long	fast OLC assembler derived from miniasm	miniasm 衍生快速组装	lbcb-sci/raven
6	Long-read assembly	三代组装	dragonflye	A	-	long	SPAdes-style pipeline wrapping Flye/Raven	类 SPAdes 的长读流程封装	rpetit3/dragonflye
6	Long-read assembly	三代组装	NextDenovo / NECAT	A	-	long	efficient correction-then-assemble pipelines	高效纠错后组装	Nextomics/NextDenovo
6	Long-read assembly	三代组装	miniasm	L	-> Flye/Trycycler	long	ultrafast raw layout, needs Racon polishing	超快原始布局，需 Racon 打磨	lh3/miniasm
6	Long-read assembly	三代组装	SMARTdenovo	L	-> Flye/Canu	long	early OLC long-read assembler	早期 OLC 长读组装	
6	Long-read assembly	三代组装	Celera Assembler	L	-> Canu	long	original Sanger/long-read assembler	最早的长读组装器	
6	Long-read assembly	三代组装	HGAP / FALCON	L	-> Canu/hifiasm (HiFi)	PacBio CLR	old PacBio SMRT assembly pipelines	旧 PacBio 组装流程	
7	Polishing	组装打磨	Medaka	R	replaces Nanopolish in convenience	ONT	neural consensus polish, no FAST5 needed	神经网络一致性打磨，无需 FAST5	nanoporetech/medaka
7	Polishing	组装打磨	Racon	R	-	long	partial-order long-read self-correction (2-3 rounds)	偏序长读自纠错（2-3 轮）	isovic/racon
7	Polishing	组装打磨	Pilon	R	-	short/hybrid	short-read error correction and gap filling	短读纠错与补洞	broadinstitute/pilon
7	Polishing	组装打磨	NextPolish	A	-	short/long	two-mode short/long polisher	双模式短/长读打磨	Nextomics/NextPolish
7	Polishing	组装打磨	Polypolish / POLCA	A	-	short	short-read polishers limiting error introduction	减少引入新错误的短读打磨	rrwick/Polypolish
7	Polishing	组装打磨	ntEdit / Sealer	A	-	short	bloom-filter correction and gap closing	布隆过滤纠错与补洞	bcgsc/ntEdit
7	Polishing	组装打磨	Apollo	A	-	shared	large-genome assembly polishing	大基因组组装打磨	
7	Polishing	组装打磨	Nanopolish	L	-> Medaka	ONT	signal-level polish requiring FAST5	需电信号 FAST5 的打磨	jts/nanopolish
7	Polishing	组装打磨	Quiver / Arrow (GCpp)	L	-> ccs/DeepVariant (HiFi)	PacBio	old PacBio consensus polishers	旧 PacBio 一致性打磨	
8	Assembly QC and contamination	组装质检与去污染	QUAST	R	-	shared	N50, contiguity and misassembly metrics	N50、连续性与错装指标	ablab/quast
8	Assembly QC and contamination	组装质检与去污染	seqkit / assembly-stats	R	-	shared	sequence statistics and manipulation	序列统计与处理	shenwei356/seqkit
8	Assembly QC and contamination	组装质检与去污染	CheckM2	R	replaces CheckM1	assembly	ML completeness/contamination, fast and lineage-robust	机器学习完整度/污染，快速稳健	chklovski/CheckM2
8	Assembly QC and contamination	组装质检与去污染	GUNC	R	-	assembly	chimeric-genome / taxonomic inconsistency detection	嵌合基因组/谱系不一致检测	grimmlab/gunc
8	Assembly QC and contamination	组装质检与去污染	FCS-GX	R	-	assembly	NCBI foreign-fragment contamination screener	NCBI 外源片段污染筛查	ncbi/fcs
8	Assembly QC and contamination	组装质检与去污染	BlobToolKit (BlobTools2)	A	-	assembly	coverage/taxonomy/GC interactive contamination view	覆盖度/分类/GC 交互排查	blobtoolkit/blobtoolkit
8	Assembly QC and contamination	组装质检与去污染	BUSCO	A	-	shared	single-copy ortholog completeness (mainly eukaryotes)	单拷贝直系同源完整度	
8	Assembly QC and contamination	组装质检与去污染	Merqury	A	-	assembly	k-mer based consensus QV	基于 k-mer 的一致性 Q 值	
8	Assembly QC and contamination	组装质检与去污染	CheckM (v1)	A	succeeded by CheckM2	assembly	lineage-marker quality, still accepted and interpretable	谱系 marker 质检，仍可用可解释	Ecogenomics/CheckM
8	Assembly QC and contamination	组装质检与去污染	RefineM	L	-> CheckM2/GUNC	assembly	older bin/contamination refinement	旧版 bin/污染精炼	
8	Assembly QC and contamination	组装质检与去污染	proDeGe	L	-> FCS-GX/CheckM2	assembly	early contamination removal for genomes/MAGs	早期污染剔除工具	
9	Structural/functional annotation	结构与功能注释	Bakta	R	modern successor in role to Prokka	shared	standardized annotation with stable RefSeq/UniRef IDs	标准化注释，稳定 RefSeq/UniRef ID	oschwengers/bakta
9	Structural/functional annotation	结构与功能注释	Prodigal	R	replaces Glimmer in role	shared	prokaryotic gene/CDS caller	原核基因/CDS 预测	hyattpd/Prodigal
9	Structural/functional annotation	结构与功能注释	eggNOG-mapper	R	-	shared	COG/GO/KEGG functional assignment	COG/GO/KEGG 功能注释	eggnogdb/eggnog-mapper
9	Structural/functional annotation	结构与功能注释	DIAMOND	R	-	shared	fast BLAST-like protein search	快速类 BLAST 蛋白比对	bbuchfink/diamond
9	Structural/functional annotation	结构与功能注释	Prokka	A	succeeded in role by Bakta	shared	rapid classic annotation, CLI-compatible with Bakta	快速经典注释，与 Bakta 命令兼容	tseemann/prokka
9	Structural/functional annotation	结构与功能注释	PGAP (NCBI)	A	-	shared	NCBI submission-grade annotation pipeline	NCBI 提交级注释流程	ncbi/pgap
9	Structural/functional annotation	结构与功能注释	DFAST	A	-	shared	web/CLI annotation with DDBJ support	DDBJ 支持的注释工具	nigyta/dfast_core
9	Structural/functional annotation	结构与功能注释	InterProScan	A	-	shared	protein domain and GO mapping	蛋白结构域与 GO 注释	ebi-pf-team/interproscan
9	Structural/functional annotation	结构与功能注释	BLAST+	A	-	shared	reference sequence similarity search	参考序列相似性搜索	
9	Structural/functional annotation	结构与功能注释	barrnap	R	replaces RNAmmer in role	shared	fast rRNA gene prediction	快速 rRNA 预测	tseemann/barrnap
9	Structural/functional annotation	结构与功能注释	tRNAscan-SE	R	-	shared	tRNA gene prediction	tRNA 预测	UCSC-LoweLab/tRNAscan-SE
9	Structural/functional annotation	结构与功能注释	Aragorn / Infernal+Rfam	A	-	shared	tmRNA/tRNA and ncRNA annotation	tmRNA/tRNA 与 ncRNA 注释	
9	Structural/functional annotation	结构与功能注释	RAST / RASTtk	L	-> Bakta/PGAP	shared	older web annotation server	早期网页注释服务	
9	Structural/functional annotation	结构与功能注释	Glimmer3 / GeneMarkS	L	-> Prodigal	shared	older gene callers (GeneMark license restricted)	旧基因预测（GeneMark 许可受限）	
9	Structural/functional annotation	结构与功能注释	RNAmmer	L	-> barrnap	shared	older HMM rRNA predictor	旧 HMM rRNA 预测	
9	Structural/functional annotation	结构与功能注释	KAAS / GhostKOALA	L	-> eggNOG-mapper	shared	older KEGG orthology web assignment	旧 KEGG 在线注释	
10	MLST	多位点序列分型	mlst (tseemann)	R	-	shared	seven-gene ST from assemblies	从组装做七基因 ST	tseemann/mlst
10	MLST	多位点序列分型	PubMLST / BIGSdb	A	-	shared	curated scheme database and platform	权威 scheme 数据库平台	
10	MLST	多位点序列分型	StringMLST / MentaLiST	A	-	shared	k-mer MLST directly from reads	直接从 reads 的 k-mer MLST	
10	MLST	多位点序列分型	CGE MLST finder (web)	A	-	shared	web-based MLST caller	在线 MLST 分型	
10	MLST	多位点序列分型	SRST2	L	-> mlst/ARIBA in role	short	read-based MLST/AMR typing	基于 reads 的 MLST/耐药分型	katholt/srst2
11	Serotyping	血清型分型	Kleborate (+Kaptive)	R	-	shared	Klebsiella ST, K/O, AMR and virulence score	肺克 ST、K/O、耐药与毒力评分	klebgenomics/Kleborate
11	Serotyping	血清型分型	ECTyper	R	-	shared	E. coli O:H / phylogroup typing	大肠 O:H 与系统群分型	phac-nml/ecoli_serotyping
11	Serotyping	血清型分型	ShigEiFinder	R	-	shared	Shigella/EIEC discrimination and serotype	志贺/EIEC 鉴别与血清型	LanLab/ShigEiFinder
11	Serotyping	血清型分型	SeqSero2	R	replaces SeqSero	shared	Salmonella O/H antigen prediction	沙门 O/H 抗原预测	denglab/SeqSero2
11	Serotyping	血清型分型	SISTR	R	-	shared	Salmonella in silico serovar prediction	沙门血清型预测	phac-nml/sistr_cmd
11	Serotyping	血清型分型	SerotypeFinder (CGE)	A	-	shared	E. coli O/H from genes	基于基因的大肠 O/H	
11	Serotyping	血清型分型	Kaptive (standalone)	A	-	shared	surface polysaccharide locus typing	表面多糖位点分型	kelwyres/Kaptive-2
11	Serotyping	血清型分型	LisSero / emm typer	A	-	shared	Listeria serogroup and Streptococcus emm	李斯特血清群与链球菌 emm	
11	Serotyping	血清型分型	SeqSero	L	-> SeqSero2	shared	first-generation Salmonella serotyper	一代沙门血清型工具	
11	Serotyping	血清型分型	spaTyper (CGE)	A	-	shared	S. aureus spa repeat succession and spa type	金葡 spa 重复序列排序与 spa 型	
11	Serotyping	血清型分型	SCCmecFinder (CGE)	A	-	shared	S. aureus SCCmec cassette and mec complex; staphopia-sccmec is an open alternative	金葡 SCCmec 盒与 mec 复合体（staphopia-sccmec 为开源替代）	
11	Serotyping	血清型分型	BTyper3	A	-	shared	B. cereus group panC phylogenetic group, virulence and secondary-metabolite loci	蜡样芽胞杆菌群 panC 系统群、毒力与次级代谢位点	lmc297/BTyper3
11	Serotyping	血清型分型	fast-lineage-caller	A	-	shared	rapid M. tuberculosis lineage assignment from assemblies or VCF	结核基于组装/VCF 的快速谱系分型	
11	Serotyping	血清型分型	MTBseq	A	-	short	M. tuberculosis lineage, resistance and SNP/indel workflow from reads	结核基于 reads 的谱系、耐药与 SNP/indel 流程	
12	cg/wgMLST	核心/全基因组 MLST	chewBBACA	R	-	shared	allele calling and cg/wgMLST workflow	等位调用与 cg/wgMLST 流程	B-UMMI/chewBBACA
12	cg/wgMLST	核心/全基因组 MLST	PubMLST/BIGSdb	A	-	shared	curated cgMLST schemes and comparison	权威 cgMLST scheme 与比较	
12	cg/wgMLST	核心/全基因组 MLST	MentaLiST	A	-	shared	scalable k-mer cgMLST caller	可扩展 k-mer cgMLST	
12	cg/wgMLST	核心/全基因组 MLST	Ridom SeqSphere+	A	commercial	shared	commercial cgMLST suite used in surveillance	监测常用商业 cgMLST 套件	
13	AMR and virulence	耐药与毒力	abricate	R	-	shared	screen against ResFinder/CARD/VFDB/PlasmidFinder	多数据库耐药毒力筛查	tseemann/abricate
13	AMR and virulence	耐药与毒力	NCBI AMRFinderPlus	R	-	shared	curated AMR plus hidden-hit adjustment	权威 AMR 注释与隐藏命中校正	ncbi/amr
13	AMR and virulence	耐药与毒力	CARD / RGI	R	-	shared	resistance ontology and gene/allele matching	耐药本体与基因/等位匹配	arpcard/rgi
13	AMR and virulence	耐药与毒力	ResFinder + PointFinder	R	-	shared	acquired genes and chromosomal point mutations	获得性基因与染色体点突变	
13	AMR and virulence	耐药与毒力	Mykrobe	A	-	short	rapid k-mer AMR (Mtb, S. aureus etc.)	快速 k-mer 耐药预测	Mykrobe-tools/mykrobe
13	AMR and virulence	耐药与毒力	TB-Profiler	A	-	shared	M. tuberculosis lineage and resistance	结核谱系与耐药预测	jodyphelan/TBProfiler
13	AMR and virulence	耐药与毒力	VirulenceFinder / VFDB	A	-	shared	virulence gene databases and callers	毒力基因库与检测	
13	AMR and virulence	耐药与毒力	KMA	A	-	short	k-mer alignment used by newer CGE services	新版 CGE 服务所用 k-mer 比对	mawe2/KMA
13	AMR and virulence	耐药与毒力	DeepARG	A	-	shared	ML-based ARG prediction	机器学习耐药基因预测	
13	AMR and virulence	耐药与毒力	ARIBA	L	-> abricate/ResFinder	short	local-cluster read-based AMR	局部聚类的 reads 耐药分析	sanger-pathogens/ariba
13	AMR and virulence	耐药与毒力	ARG-ANNOT	L	-> ResFinder/CARD	shared	older resistance database, no longer updated	旧耐药数据库，已停止更新	
13	AMR and virulence	耐药与毒力	KmerResistance	L	-> ResFinder (KMA)	short	older k-mer AMR caller	旧 k-mer 耐药检测	
14	Plasmids and MGE	质粒与可移动元件	mob-suite	R	-	assembly	plasmid reconstruction, typing and mobility	质粒重建、分型与可迁移性	phac-nml/mob-suite
14	Plasmids and MGE	质粒与可移动元件	PlasmidFinder	R	-	shared	replicon incompatibility typing	复制子不相容群分型	
14	Plasmids and MGE	质粒与可移动元件	PLSDB	A	-	shared	curated plasmid database and search	质粒数据库与检索	
14	Plasmids and MGE	质粒与可移动元件	IntegronFinder	R	-	shared	integron and attC detection	整合子与 attC 检测	gem-pasteur/Integron_Finder
14	Plasmids and MGE	质粒与可移动元件	ISEScan	R	-	shared	insertion sequence annotation	插入序列注释	xiezhq/ISEScan
14	Plasmids and MGE	质粒与可移动元件	MGEfinder / mobileOG-db	A	-	shared	MGE insertion and functional annotation	MGE 插入与功能注释	bhattlab/MGEfinder
14	Plasmids and MGE	质粒与可移动元件	ICEberg / oriTfinder	A	-	shared	ICE and origin-of-transfer resources	整合接合元件与转移起点资源	
14	Plasmids and MGE	质粒与可移动元件	mlplasmids / PlasFlow	A	-	shared	classify chromosome versus plasmid contigs	区分染色体与质粒 contig	
14	Plasmids and MGE	质粒与可移动元件	PLACNETw	A	-	shared	graph-based plasmid reconstruction web tool	图论质粒重建网页工具	
14	Plasmids and MGE	质粒与可移动元件	cBar / Recycler	L	-> mob-suite	assembly	older plasmid binning from assemblies	旧版质粒分箱	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	geNomad	R	-	shared	virus/plasmid element classifier	病毒/质粒元件分类器	apcamargo/genomad
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	PhiSpy	R	-	shared	prophage region caller	前噬菌体区域预测	linsalrob/PhiSpy
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	VirSorter2	R	replaces VirSorter1	shared	viral/prophage sequence identification	病毒/前噬菌体序列识别	jiarong/VirSorter2
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	CRISPRCasFinder	R	-	shared	CRISPR array and cas typing	CRISPR 阵列与 cas 分型	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	IslandViewer4 / IslandPath-DIMOB	A	-	shared	genomic island prediction	基因岛预测	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	MinCED	A	-	shared	CRISPR repeat mining (CRT-derived)	CRISPR 重复挖掘	ctSkennerton/minced
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	PHASTER (web)	A	replaces PHAST	shared	interactive prophage annotation web server	交互式前噬菌体网页注释	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	VirSorter 1	L	-> VirSorter2	shared	first-generation viral classifier	一代病毒序列分类器	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	PHAST	L	-> PHASTER	shared	older prophage web server	旧版前噬菌体网页服务	
15	Prophage, GI, CRISPR	前噬菌体/基因岛/CRISPR	CRT / PILER-CR	L	-> CRISPRCasFinder/MinCED	shared	early CRISPR repeat finders	早期 CRISPR 重复发现工具	
16	Pangenome	泛基因组	Panaroo	R	addresses Roary fragmentation	shared	error-correcting graph pangenome for draft assemblies	纠错型图泛基因组，适合草稿组装	gtonkinhill/panaroo
16	Pangenome	泛基因组	PPanGGOLiN	A	-	shared	core/shell/cloud partition and partitions	核心/外壳/云基因组划分	labgem/PPanGGOLiN
16	Pangenome	泛基因组	PEPPAN / ggCaller	A	-	shared	fragmentation-robust and graph gene-calling pangenomes	抗片段化与图基因调用泛基因组	
16	Pangenome	泛基因组	PIRATE / panX	A	-	shared	pangenome clustering and interactive exploration	泛基因组聚类与交互探索	SionBayliss/PIRATE
16	Pangenome	泛基因组	Roary	A	still a fast baseline	shared	rapid classic pangenome pipeline	快速经典泛基因组流程	sanger-pathogens/Roary
16	Pangenome	泛基因组	GET_HOMOLOGUES	A	-	shared	multi-algorithm ortholog clustering	多算法直系同源聚类	
16	Pangenome	泛基因组	OrthoFinder / SonicParanoid	A	-	shared	orthogroup inference (broadly used)	直系同源群推断	davidemms/OrthoFinder
16	Pangenome	泛基因组	anvi'o pangenome	A	-	shared	interactive pangenome workbench	交互式泛基因组平台	merenlab/anvio
16	Pangenome	泛基因组	Panstripe	A	companion to Panaroo	shared	gene gain/loss rate comparison	基因获得/丢失速率比较	gtonkinhill/panstripe
16	Pangenome	泛基因组	PGAP (pangenome) / BPGA	L	-> Panaroo/PPanGGOLiN	shared	older pangenome pipelines	旧版泛基因组流程	
16	Pangenome	泛基因组	OrthoMCL	L	-> OrthoFinder/PPanGGOLiN	shared	early MCL ortholog clustering	早期 MCL 直系同源聚类	
17	Read mapping	reads 比对	BWA-MEM (BWA 0.7.x)	R	-	short	standard short-read aligner	标准短读比对器	lh3/bwa
17	Read mapping	reads 比对	minimap2	R	replaces BWA-SW/minimap/BLASR in role	long/short	fast aligner for long and noisy reads	长读/噪声读快速比对	lh3/minimap2
17	Read mapping	reads 比对	samtools	R	-	shared	sort/index/mpileup and BAM handling	排序索引与 BAM 处理	samtools/samtools
17	Read mapping	reads 比对	BWA-MEM2	A	-	short	SIMD-accelerated BWA-MEM, same output	SIMD 加速、结果等价	bwa-mem2/bwa-mem2
17	Read mapping	reads 比对	Bowtie2	A	-	short	fast gapped short-read aligner	快速带空隙短读比对	BenLangmead/bowtie2
17	Read mapping	reads 比对	pbmm2 / ngmlr	A	-	PacBio/long	PacBio minimap2 wrapper and SV-oriented aligner	PacBio 封装与面向 SV 比对	PacificBiosciences/pbmm2
17	Read mapping	reads 比对	Novoalign	A	-	short	high-accuracy commercial aligner	高精度商业比对器	
17	Read mapping	reads 比对	NextGenMap	A	-	short	flexible short-read aligner	灵活短读比对	
17	Read mapping	reads 比对	Bowtie 1	L	-> Bowtie2	short	ungapped first-generation aligner	一代无空隙比对器	
17	Read mapping	reads 比对	SMALT / Stampy	L	-> BWA-MEM/minimap2	short	older sensitive hybrid aligners	旧版高敏混合比对器	
17	Read mapping	reads 比对	BLASR / GraphMap	L	-> minimap2/pbmm2	long	early long-read aligners	早期长读比对器	
18	Variants, core SNP, recombination	变异/核心SNP/重组	bcftools (mpileup/call)	R	-	shared	variant calling, filtering and VCF maths	变异检测、过滤与 VCF 处理	samtools/bcftools
18	Variants, core SNP, recombination	变异/核心SNP/重组	Snippy (+snippy-core)	R	-	short/assembly	rapid core-SNP pipeline	快速核心 SNP 流程	tseemann/snippy
18	Variants, core SNP, recombination	变异/核心SNP/重组	snp-sites	R	-	shared	extract SNP sites from a multi-FASTA alignment	从多 FASTA 比对提取 SNP	sanger-pathogens/snp-sites
18	Variants, core SNP, recombination	变异/核心SNP/重组	Gubbins	R	-	shared	detect and mask recombinant regions	检测并屏蔽重组区	nickjcroucher/gubbins
18	Variants, core SNP, recombination	变异/核心SNP/重组	vcf2phylip	R	-	shared	convert filtered VCF to alignment	过滤 VCF 转比对矩阵	edgardomortiz/vcf2phylip
18	Variants, core SNP, recombination	变异/核心SNP/重组	FreeBayes	A	-	short	haplotype-aware Bayesian caller	单倍型感知贝叶斯检测	freebayes/freebayes
18	Variants, core SNP, recombination	变异/核心SNP/重组	GATK (HaplotypeCaller)	A	-	short	broadly used variant caller (best practices workflow)	广泛使用的变异检测	broadinstitute/gatk
18	Variants, core SNP, recombination	变异/核心SNP/重组	ClonalFrameML	A	-	shared	clonal genealogy with recombination	克隆谱系与重组估计	didelot/ClonalFrameML
18	Variants, core SNP, recombination	变异/核心SNP/重组	Parsnp (Harvest)	A	-	shared	rapid core-genome alignment/SNP	快速核心基因组比对/SNP	marbl/harvest-tools
18	Variants, core SNP, recombination	变异/核心SNP/重组	kSNP3 / kSNP4	A	-	shared	reference-free SNP discovery	无参考 SNP 发现	
18	Variants, core SNP, recombination	变异/核心SNP/重组	VarScan2	L	-> bcftools/GATK	short	older pileup-based caller	旧版基于 pileup 的检测	
18	Variants, core SNP, recombination	变异/核心SNP/重组	Lyve-SET / CFSAN-SNP / NASP / RedDog	L	-> Snippy/Parsnp	short	older outbreak core-SNP pipelines	旧疫情核心 SNP 流程	
19	Sequence alignment	序列比对	MAFFT	R	-	shared	fast accurate multiple sequence alignment	快速准确多序列比对	
19	Sequence alignment	序列比对	MUMmer4 (nucmer/dnadiff)	R	-	shared	whole-genome pairwise alignment and SNPs	全基因组两两比对与 SNP	mummer4/mummer
19	Sequence alignment	序列比对	MUSCLE (v5)	A	-	shared	accurate MSA, modern v5 rewrite	高精度多序列比对（v5 重写）	rcedgar/muscle
19	Sequence alignment	序列比对	Clustal Omega	A	-	shared	progressive profile MSA	渐进式多序列比对	
19	Sequence alignment	序列比对	LAST	A	-	shared	sensitive large-scale aligner	高敏大规模比对	
19	Sequence alignment	序列比对	progressiveMauve / Mauve	A	maintenance limited	shared	whole-genome alignment and synteny view	全基因组比对与共线性查看	
19	Sequence alignment	序列比对	T-Coffee	A	-	shared	high-accuracy but slower MSA	高精度但较慢	
